Населённый пункт,Год,Месяц,День,Время_суток,Температура,Скорость_ветра(м/с),Направление_ветра,Давление,Влажность,Осадки_(м/м),Погода
strelna,2018,february,10,ночь,-6°,1,Западный ветер,767,92,без осадков,туман
strelna,2018,february,10,утро,-5°,2,Восточный ветер,767,92,без осадков,пасмурно
strelna,2018,february,10,день,-3°,3,Северный ветер,765,86,без осадков,пасмурно
strelna,2018,february,10,вечер,-3°,4,Северо-восточный ветер,765,79,без осадков,снег
strelna,2018,february,11,ночь,-5°,2,Восточный ветер,763,92,без осадков,снег
strelna,2018,february,11,утро,-5°,4,Восточный ветер,762,92,без осадков,туман
strelna,2018,february,11,день,-4°,5,Восточный ветер,761,92,без осадков,пасмурно
strelna,2018,february,11,вечер,-3°,4,Восточный ветер,760,86,без осадков,снег
strelna,2018,february,12,ночь,-3°,4,Восточный ветер,759,92,без осадков,пасмурно
strelna,2018,february,12,утро,-3°,4,Юго-восточный ветер,759,92,без осадков,пасмурно
strelna,2018,february,12,день,-1°,5,Юго-восточный ветер,760,86,без осадков,пасмурно
strelna,2018,february,12,вечер,-1°,5,Юго-восточный ветер,760,86,без осадков,пасмурно
strelna,2018,february,13,ночь,-1°,3,Юго-восточный ветер,762,80,без осадков,пасмурно
strelna,2018,february,13,утро,-1°,4,Юго-восточный ветер,762,86,без осадков,пасмурно
strelna,2018,february,13,день,-1°,5,Юго-восточный ветер,764,86,без осадков,пасмурно
strelna,2018,february,13,вечер,-2°,4,Юго-восточный ветер,765,79,без осадков,пасмурно
strelna,2018,february,14,ночь,-5°,2,Восточный ветер,766,73,без осадков,пасмурно
strelna,2018,february,14,утро,-5°,4,Юго-восточный ветер,768,85,без осадков,снег
strelna,2018,february,14,день,-7°,4,Восточный ветер,770,79,без осадков,пасмурно
strelna,2018,february,14,вечер,-7°,4,Восточный ветер,771,73,без осадков,ясно
strelna,2018,february,15,ночь,-11°,3,Восточный ветер,772,92,без осадков,малооблачно
strelna,2018,february,15,утро,-14°,3,Восточный ветер,773,84,без осадков,туман
strelna,2018,february,15,день,-11°,3,Восточный ветер,774,92,без осадков,облачно
strelna,2018,february,15,вечер,-8°,3,Восточный ветер,773,78,без осадков,облачно
strelna,2018,february,16,ночь,-9°,3,Восточный ветер,771,85,без осадков,снег
strelna,2018,february,16,утро,-8°,3,Восточный ветер,769,92,без осадков,снег
strelna,2018,february,16,день,-6°,4,Южный ветер,768,85,без осадков,пасмурно
strelna,2018,february,16,вечер,-6°,3,Южный ветер,768,79,без осадков,пасмурно
strelna,2018,february,17,ночь,-6°,3,Восточный ветер,767,85,без осадков,пасмурно
strelna,2018,february,17,утро,-6°,5,Северо-восточный ветер,766,92,без осадков,снег
strelna,2018,february,17,день,-4°,3,Северо-восточный ветер,765,92,без осадков,снег
strelna,2018,february,17,вечер,-3°,4,Северо-восточный ветер,765,86,без осадков,снег
strelna,2018,february,18,ночь,-3°,3,Северный ветер,765,86,без осадков,снег
strelna,2018,february,18,утро,-4°,2,Северный ветер,765,92,без осадков,снег
strelna,2018,february,18,день,-3°,3,Западный ветер,765,86,без осадков,снег
strelna,2018,february,18,вечер,-4°,4,Западный ветер,765,92,без осадков,снег
strelna,2018,february,19,ночь,-6°,4,Северный ветер,765,92,без осадков,снег
strelna,2018,february,19,утро,-5°,3,Западный ветер,765,92,без осадков,снег
strelna,2018,february,19,день,-4°,4,Западный ветер,765,92,без осадков,снег
strelna,2018,february,19,вечер,-4°,4,Северо-западный ветер,766,73,без осадков,пасмурно
strelna,2018,february,20,ночь,-9°,4,Западный ветер,767,92,без осадков,снег
strelna,2018,february,20,утро,-8°,4,Северный ветер,768,92,без осадков,малооблачно
strelna,2018,february,20,день,-9°,4,Западный ветер,768,85,без осадков,пасмурно
strelna,2018,february,20,вечер,-8°,4,Западный ветер,768,78,без осадков,малооблачно
strelna,2018,february,21,ночь,-15°,2,Юго-западный ветер,768,84,без осадков,малооблачно
strelna,2018,february,21,утро,-16°,2,Юго-западный ветер,769,91,без осадков,облачно
strelna,2018,february,21,день,-12°,1,Западный ветер,770,92,без осадков,облачно
strelna,2018,february,21,вечер,-11°,3,Западный ветер,770,92,без осадков,облачно
strelna,2018,february,22,ночь,-15°,3,Западный ветер,771,92,без осадков,пасмурно
strelna,2018,february,22,утро,-17°,3,Западный ветер,772,84,без осадков,пасмурно
strelna,2018,february,22,день,-9°,2,Западный ветер,772,92,без осадков,пасмурно
strelna,2018,february,22,вечер,-10°,3,Западный ветер,771,85,без осадков,облачно
strelna,2018,february,23,ночь,-15°,2,Северный ветер,771,84,без осадков,ясно
strelna,2018,february,23,утро,-13°,3,Западный ветер,770,92,без осадков,малооблачно
strelna,2018,february,23,день,-10°,3,Западный ветер,770,85,без осадков,снег
strelna,2018,february,23,вечер,-9°,2,Северо-западный ветер,770,85,без осадков,снег
strelna,2018,february,24,ночь,-16°,2,Западный ветер,772,84,без осадков,малооблачно
strelna,2018,february,24,утро,-15°,1,Юго-западный ветер,774,92,без осадков,малооблачно
strelna,2018,february,24,день,-13°,4,Северный ветер,775,92,без осадков,малооблачно
strelna,2018,february,24,вечер,-13°,4,Северный ветер,775,65,без осадков,ясно
strelna,2018,february,25,ночь,-12°,4,Северо-восточный ветер,775,72,без осадков,пасмурно
strelna,2018,february,25,утро,-12°,5,Западный ветер,774,84,без осадков,снег
strelna,2018,february,25,день,-10°,5,Западный ветер,773,85,без осадков,снег
strelna,2018,february,25,вечер,-9°,4,Северо-восточный ветер,773,66,без осадков,пасмурно
strelna,2018,february,26,ночь,-12°,3,Северо-восточный ветер,773,66,без осадков,пасмурно
strelna,2018,february,26,утро,-13°,1,Северный ветер,771,77,без осадков,ясно
strelna,2018,february,26,день,-10°,4,Восточный ветер,772,65,без осадков,пасмурно
strelna,2018,february,26,вечер,-12°,4,Северный ветер,772,72,без осадков,снег
strelna,2018,february,27,ночь,-16°,7,Северо-восточный ветер,775,77,без осадков,пасмурно
strelna,2018,february,27,утро,-18°,6,Северо-восточный ветер,779,77,без осадков,малооблачно
strelna,2018,february,27,день,-15°,6,Северо-восточный ветер,782,70,без осадков,малооблачно
strelna,2018,february,27,вечер,-16°,5,Северный ветер,783,65,без осадков,ясно
strelna,2018,february,28,ночь,-21°,6,Северо-восточный ветер,789,64,без осадков,ясно
strelna,2018,february,28,утро,-20°,3,Северо-восточный ветер,789,76,без осадков,ясно
strelna,2018,february,28,день,-15°,3,Восточный ветер,784,70,без осадков,ясно
strelna,2018,february,28,вечер,-13°,4,Северо-восточный ветер,783,65,без осадков,ясно
strelna,2018,march,1,ночь,-20°,3,Северо-восточный ветер,781,84,без осадков,облачно
strelna,2018,march,1,утро,-21°,1,Северный ветер,779,83,без осадков,облачно
strelna,2018,march,1,день,-11°,1,Северный ветер,776,84,без осадков,малооблачно
strelna,2018,march,1,вечер,-9°,1,Западный ветер,774,72,без осадков,ясно
strelna,2018,march,2,ночь,-17°,2,Восточный ветер,771,84,без осадков,ясно
strelna,2018,march,2,утро,-18°,2,Северо-восточный ветер,769,84,без осадков,ясно
strelna,2018,march,2,день,-10°,4,Восточный ветер,767,84,без осадков,ясно
strelna,2018,march,2,вечер,-7°,5,Северо-восточный ветер,765,48,без осадков,ясно
strelna,2018,march,3,ночь,-14°,2,Северо-восточный ветер,762,84,без осадков,пасмурно
strelna,2018,march,3,утро,-12°,2,Восточный ветер,761,78,без осадков,пасмурно
strelna,2018,march,3,день,-6°,3,Восточный ветер,759,78,без осадков,пасмурно
strelna,2018,march,3,вечер,-5°,2,Северо-восточный ветер,758,62,без осадков,облачно
strelna,2018,march,4,ночь,-17°,1,Восточный ветер,756,84,без осадков,ясно
strelna,2018,march,4,утро,-17°,1,Юго-западный ветер,755,84,без осадков,ясно
strelna,2018,march,4,день,-8°,4,Западный ветер,755,78,без осадков,ясно
strelna,2018,march,4,вечер,-6°,5,Северный ветер,755,41,без осадков,ясно
strelna,2018,march,5,ночь,-9°,3,Северо-восточный ветер,756,78,без осадков,ясно
strelna,2018,march,5,утро,-14°,1,Северный ветер,757,92,без осадков,ясно
strelna,2018,march,5,день,-6°,2,Северный ветер,759,72,без осадков,ясно
strelna,2018,march,5,вечер,-6°,3,Северо-восточный ветер,760,62,без осадков,ясно
strelna,2018,march,6,ночь,-14°,3,Восточный ветер,761,84,без осадков,ясно
strelna,2018,march,6,утро,-14°,5,Восточный ветер,761,71,без осадков,ясно
strelna,2018,march,6,день,-8°,6,Восточный ветер,760,71,без осадков,ясно
strelna,2018,march,6,вечер,-7°,8,Восточный ветер,759,48,без осадков,ясно
strelna,2018,march,7,ночь,-10°,4,Восточный ветер,758,56,без осадков,ясно
strelna,2018,march,7,утро,-11°,5,Восточный ветер,757,61,без осадков,ясно
strelna,2018,march,7,день,-8°,5,Северо-восточный ветер,758,61,без осадков,ясно
strelna,2018,march,7,вечер,-6°,6,Северо-восточный ветер,757,53,без осадков,облачно
strelna,2018,march,8,ночь,-9°,5,Восточный ветер,758,66,без осадков,ясно
strelna,2018,march,8,утро,-10°,4,Восточный ветер,758,78,без осадков,ясно
strelna,2018,march,8,день,-3°,7,Восточный ветер,758,72,без осадков,ясно
strelna,2018,march,8,вечер,-2°,6,Восточный ветер,757,58,без осадков,пасмурно
strelna,2018,march,9,ночь,-5°,6,Восточный ветер,758,67,без осадков,малооблачно
strelna,2018,march,9,утро,-5°,4,Восточный ветер,757,67,без осадков,ясно
strelna,2018,march,9,день,-1°,6,Восточный ветер,757,74,без осадков,пасмурно
strelna,2018,march,9,вечер,0°,7,Юго-восточный ветер,757,88,без осадков,снег
strelna,2018,march,10,ночь,-2°,3,Восточный ветер,758,80,без осадков,пасмурно
strelna,2018,march,10,утро,-2°,4,Восточный ветер,758,74,без осадков,пасмурно
strelna,2018,march,10,день,-1°,5,Восточный ветер,759,80,без осадков,снег
strelna,2018,march,10,вечер,-1°,4,Восточный ветер,759,80,без осадков,пасмурно
strelna,2018,march,11,ночь,-2°,2,Юго-восточный ветер,760,86,без осадков,пасмурно
strelna,2018,march,11,утро,-2°,2,Северный ветер,760,92,без осадков,снег
strelna,2018,march,11,день,+2°,4,Юго-восточный ветер,761,86,без осадков,пасмурно
strelna,2018,march,11,вечер,+3°,4,Южный ветер,760,69,без осадков,облачно
strelna,2018,march,12,ночь,-1°,4,Юго-восточный ветер,760,86,без осадков,ясно
strelna,2018,march,12,утро,-5°,3,Восточный ветер,759,100,без осадков,туман
strelna,2018,march,12,день,+1°,5,Восточный ветер,758,86,без осадков,пасмурно
strelna,2018,march,12,вечер,+1°,7,Восточный ветер,756,80,без осадков,пасмурно
strelna,2018,march,13,ночь,+1°,5,Восточный ветер,752,93,без осадков,пасмурно
strelna,2018,march,13,утро,+2°,4,Юго-восточный ветер,748,100,без осадков,туман
strelna,2018,march,13,день,+2°,3,Южный ветер,747,100,без осадков,пасмурно
strelna,2018,march,13,вечер,+3°,3,Юго-восточный ветер,747,93,без осадков,туман
strelna,2018,march,14,ночь,+3°,6,Южный ветер,746,93,без осадков,пасмурно
strelna,2018,march,14,утро,+3°,6,Южный ветер,746,93,без осадков,пасмурно
strelna,2018,march,14,день,+3°,6,Южный ветер,746,93,без осадков,пасмурно
strelna,2018,march,14,вечер,+3°,6,Южный ветер,746,93,без осадков,пасмурно
strelna,2018,march,15,ночь,-6°,10,Западный ветер,755,67,без осадков,пасмурно
strelna,2018,march,15,утро,-7°,10,Западный ветер,756,79,без осадков,снег
strelna,2018,march,15,день,-7°,7,Западный ветер,758,73,без осадков,снег
strelna,2018,march,15,вечер,-7°,6,Северный ветер,760,73,без осадков,снег
strelna,2018,march,16,ночь,-9°,6,Северо-западный ветер,762,78,без осадков,пасмурно
strelna,2018,march,16,утро,-10°,7,Северо-западный ветер,763,61,без осадков,ясно
strelna,2018,march,16,день,-8°,7,Северный ветер,764,56,без осадков,малооблачно
strelna,2018,march,16,вечер,-7°,7,Северный ветер,765,44,без осадков,малооблачно
strelna,2018,march,17,ночь,-9°,5,Северо-западный ветер,766,78,без осадков,облачно
strelna,2018,march,17,утро,-11°,3,Западный ветер,766,85,без осадков,малооблачно
strelna,2018,march,17,день,-6°,5,Северный ветер,768,62,без осадков,малооблачно
strelna,2018,march,17,вечер,-5°,5,Западный ветер,766,67,без осадков,снег
strelna,2018,march,18,ночь,-6°,3,Юго-западный ветер,764,85,без осадков,малооблачно
strelna,2018,march,18,утро,-6°,5,Западный ветер,761,73,без осадков,облачно
strelna,2018,march,18,день,0°,9,Западный ветер,758,95,без осадков,пасмурно
strelna,2018,march,18,вечер,0°,9,Западный ветер,757,91,без осадков,пасмурно
strelna,2018,march,19,ночь,-1°,5,Юго-западный ветер,754,90,без осадков,пасмурно
strelna,2018,march,19,утро,-1°,7,Юго-западный ветер,751,92,без осадков,снег
strelna,2018,march,19,день,+1°,7,Юго-западный ветер,750,96,без осадков,снег
strelna,2018,march,19,вечер,+1°,4,Юго-западный ветер,750,91,без осадков,пасмурно
strelna,2018,march,20,ночь,0°,5,Юго-западный ветер,749,94,без осадков,пасмурно
strelna,2018,march,20,утро,-2°,4,Западный ветер,751,92,без осадков,пасмурно
strelna,2018,march,20,день,+4°,2,Западный ветер,754,97,без осадков,пасмурно
strelna,2018,march,20,вечер,+1°,3,Восточный ветер,755,69,без осадков,облачно
strelna,2018,march,21,ночь,-5°,5,Северо-восточный ветер,756,92,без осадков,снег
strelna,2018,march,21,утро,-9°,5,Северный ветер,759,92,без осадков,пасмурно
strelna,2018,march,21,день,-6°,4,Северный ветер,760,73,без осадков,снег
strelna,2018,march,21,вечер,-5°,2,Западный ветер,759,67,без осадков,малооблачно
strelna,2018,march,22,ночь,-6°,3,Южный ветер,756,85,без осадков,малооблачно
strelna,2018,march,22,утро,-4°,4,Южный ветер,752,85,без осадков,пасмурно
strelna,2018,march,22,день,+1°,7,Юго-западный ветер,750,93,без осадков,пасмурно
strelna,2018,march,22,вечер,+1°,4,Южный ветер,748,80,без осадков,пасмурно
strelna,2018,march,23,ночь,0°,5,Юго-западный ветер,744,92,без осадков,пасмурно
strelna,2018,march,23,утро,-1°,8,Западный ветер,745,92,без осадков,снег
strelna,2018,march,23,день,-4°,9,Западный ветер,749,85,без осадков,пасмурно
strelna,2018,march,23,вечер,-4°,7,Западный ветер,752,79,без осадков,пасмурно
strelna,2018,march,24,ночь,-13°,3,Западный ветер,755,92,без осадков,туман
strelna,2018,march,24,утро,-13°,2,Северный ветер,756,92,без осадков,туман
strelna,2018,march,24,день,-1°,5,Южный ветер,762,97,без осадков,пасмурно
strelna,2018,march,24,вечер,+1°,3,Юго-западный ветер,753,55,без осадков,ясно
